"parameter_id","group_id"
"IMPC_ECH_019_001",11
"IMPC_ECH_020_001",11
"IMPC_ECH_021_001",11
"IMPC_ECH_022_001",10
"IMPC_ECH_023_001",11
"IMPC_ECH_024_001",4
"IMPC_ECH_025_001",2
"IMPC_CBC_003_001",11
"IMPC_CBC_004_001",4
"IMPC_CBC_015_001",6
"IMPC_CBC_016_001",6
"IMPC_CBC_017_001",11
"IMPC_CBC_018_001",6
"IMPC_CBC_024_001",4
"IMPC_CBC_025_001",6
"IMPC_CBC_026_001",1
"IMPC_CBC_026_001",11
"IMPC_CBC_029_001",11
"IMPC_CBC_033_001",11
"IMPC_CBC_034_001",11
"IMPC_CBC_035_001",11
"IMPC_CBC_036_001",4
"IMPC_CBC_037_001",4
"IMPC_CBC_037_001",11
"IMPC_CBC_042_001",11
"IMPC_CBC_043_001",11
"IMPC_CBC_044_001",11
"IMPC_CBC_045_001",4
"IMPC_CBC_045_001",11
"IMPC_CBC_046_001",4
"IMPC_CBC_049_001",4
"IMPC_CBC_049_001",11
"IMPC_CBC_050_001",4
"IMPC_CBC_039_001",4
"IMPC_CBC_041_001",4
"IMPC_CBC_051_001",4
"IMPC_CBC_051_001",11
"IMPC_CBC_056_001",11
"IMPC_CBC_057_001",6
"IMPC_CBC_058_001",6
"IMPC_CBC_059_001",10
"IMPC_CBC_059_001",11
"IMPC_GEO_063_001",7
"IMPC_GEO_064_001",7
"IMPC_GEO_065_001",7
"IMPC_GEO_066_001",7
"IMPC_GEO_067_001",7
"IMPC_GEO_068_001",7
"IMPC_GEO_068_001",9
"IMPC_GEO_069_001",7
"IMPC_GEO_069_001",9
"IMPC_GEO_070_001",7
"IMPC_GEO_071_001",7
"IMPC_IPG_001_001",1
"IMPC_IPG_002_001",4
"IMPC_IPG_002_001",6
"IMPC_IPG_003_001",11
"IMPC_IPG_004_001",11
"IMPC_IPG_005_001",11
"IMPC_IPG_006_001",11
"IMPC_IPG_008_001",11
"IMPC_IPG_009_001",4
"IMPC_IPG_010_001",4
"IMPC_IPG_010_001",6
"IMPC_IPG_011_001",3
"IMPC_IPG_011_001",6
"IMPC_IPG_011_001",8
"IMPC_IPG_012_001",1
"IMPC_IPG_012_001",3
"IMPC_IPG_012_001",6
"IMPC_IPG_012_001",8
"IMPC_INS_001_001",6
"IMPC_INS_002_001",11
"IMPC_INS_003_001",11
"IMPC_INS_004_001",11
"IMPC_INS_005_001",11
"IMPC_INS_006_001",11
"IMPC_INS_007_001",11
"IMPC_INS_008_001",4
"IMPC_INS_009_001",4
"IMPC_INS_010_001",4
"IMPC_INS_010_001",11
"IMPC_INS_012_001",4
"IMPC_INS_014_001",11
"IMPC_INS_015_001",11
"IMPC_INS_016_001",11
"IMPC_INS_018_001",4
"IMPC_INS_018_001",11
"IMPC_INS_020_001",4
"IMPC_INS_020_001",11
"IMPC_INS_021_001",4
"IMPC_INS_021_001",11
"IMPC_INS_022_001",4
"IMPC_INS_023_001",11
"IMPC_GEP_076_001",7
"IMPC_GEP_079_001",7
"IMPC_GEP_080_001",7
"IMPC_GEP_082_001",7
"IMPC_GEP_084_001",7
"IMPC_GEP_085_001",7
"IMPC_GEP_085_001",9
"IMPC_GEP_086_001",7
"IMPC_GEP_086_001",9
"IMPC_GEP_087_001",7
"IMPC_ABR_001_001",1
"IMPC_ABR_002_001",4
"IMPC_ABR_002_001",8
"IMPC_ABR_003_001",2
"IMPC_ABR_003_001",8
"IMPC_ABR_004_001",4
"IMPC_ABR_004_001",8
"IMPC_ABR_005_001",2
"IMPC_ABR_005_001",8
"IMPC_ABR_006_001",4
"IMPC_ABR_006_001",8
"IMPC_ABR_007_001",2
"IMPC_ABR_007_001",8
"IMPC_ABR_008_001",4
"IMPC_ABR_008_001",8
"IMPC_ABR_009_001",2
"IMPC_ABR_009_001",8
"IMPC_ABR_010_001",4
"IMPC_ABR_010_001",8
"IMPC_ABR_011_001",2
"IMPC_ABR_011_001",8
"IMPC_ABR_012_001",4
"IMPC_ABR_012_001",8
"IMPC_ABR_013_001",2
"IMPC_ABR_013_001",8
"IMPC_ABR_014_001",2
"IMPC_ABR_014_001",8
"IMPC_ABR_015_001",2
"IMPC_ABR_015_001",8
"IMPC_ABR_016_001",5
"IMPC_ABR_017_001",2
"IMPC_ABR_017_001",8
"IMPC_ABR_018_001",2
"IMPC_ABR_018_001",8
"IMPC_ABR_019_001",2
"IMPC_ABR_019_001",8
"IMPC_ABR_020_001",8
"IMPC_ABR_021_001",8
"IMPC_ABR_022_001",8
"IMPC_ABR_023_001",8
"IMPC_ABR_024_001",8
"IMPC_ABR_025_001",8
"IMPC_ABR_026_001",8
"IMPC_ABR_027_001",8
"IMPC_ABR_029_001",8
"IMPC_ABR_030_001",8
"IMPC_ABR_031_001",8
"IMPC_ABR_032_001",8
"IMPC_ABR_033_001",8
"IMPC_ABR_034_001",8
"IMPC_ABR_035_001",8
"IMPC_ABR_036_001",1
"IMPC_ABR_036_001",7
"IMPC_ABR_036_001",8
"IMPC_ABR_037_001",8
"IMPC_ABR_038_001",8
"IMPC_ABR_039_001",4
"IMPC_ABR_042_001",10
"IMPC_ABR_043_001",10
"IMPC_ABR_044_001",10
"IMPC_ABR_045_001",10
"IMPC_ABR_046_001",10
"IMPC_ABR_049_001",11
"IMPC_ABR_050_001",11
"IMPC_ABR_051_001",11
"IMPC_ABR_053_001",11
"IMPC_ABR_054_001",4
"IMPC_CHL_001_001",1
"IMPC_CHL_002_001",8
"IMPC_CHL_003_001",1
"IMPC_CHL_003_001",11
"IMPC_CHL_004_001",1
"IMPC_CHL_013_001",4
"IMPC_CHL_018_001",11
"IMPC_CHL_019_001",11
"IMPC_CHL_020_001",11
"IMPC_CHL_021_001",11
"IMPC_CHL_022_001",4
"IMPC_CHL_027_001",11
"IMPC_CHL_029_001",1
"IMPC_EYE_001_001",5
"IMPC_EYE_002_001",5
"IMPC_EYE_003_001",4
"IMPC_EYE_003_001",5
"IMPC_EYE_004_001",5
"IMPC_EYE_004_001",7
"IMPC_EYE_004_001",11
"IMPC_EYE_005_001",5
"IMPC_EYE_005_001",11
"IMPC_EYE_006_001",5
"IMPC_EYE_007_001",5
"IMPC_EYE_008_001",5
"IMPC_EYE_009_001",4
"IMPC_EYE_009_001",5
"IMPC_EYE_010_001",5
"IMPC_EYE_011_001",5
"IMPC_EYE_012_001",5
"IMPC_EYE_012_001",7
"IMPC_EYE_013_001",5
"IMPC_EYE_014_001",3
"IMPC_EYE_014_001",5
"IMPC_EYE_014_001",8
"IMPC_EYE_015_001",5
"IMPC_EYE_016_001",5
"IMPC_EYE_017_001",5
"IMPC_EYE_018_001",5
"IMPC_EYE_023_001",5
"IMPC_EYE_024_001",4
